t,X,Y,Z
2.384,-4.674996351018136,-3.4051918031227353,24.649750127656564
2.388,-4.626091049715192,-3.455686487077651,24.45165095298413
2.392,-4.581145231548367,-3.5089497974462485,24.2559488691217
2.396,-4.540117565300571,-3.5649079052777606,24.06270825790608
2.4,-4.502965249608084,-3.6234958542436058,23.87199278219702
2.404,-4.469644012960556,-3.684657560637383,23.683865385877205
2.408,-4.44010811370101,-3.748345813374876,23.49838829385225
2.412,-4.41431034002584,-3.8145222739940503,23.315623012050718
2.416,-4.392202009984808,-3.8831574766550547,23.135630327424103
2.42,-4.373732971481051,-3.954230828140221,22.958470307946836
2.424,-4.358851602271075,-4.027730607854064,22.784202302616286
2.428,-4.347504809964757,-4.1036539678232815,22.612884941452766
2.432,-4.339638032025346,-4.182006932696754,22.444576135499506
2.436,-4.335195235769461,-4.262804399745544,22.2793330768227
2.44,-4.334118918367093,-4.346070138862899,22.117212238511453
2.444,-4.3363501068416035,-4.431836792564248,21.958269374677823
2.448,-4.341814140430614,-4.520143284591264,21.80257361699561
2.452,-4.35039016555293,-4.611010193104129,21.65026633827839
2.456,-4.362081041118513,-4.704455250435109,21.501413118514805
2.46,-4.376907035132678,-4.80049861345325,21.356069634277894
2.464,-4.394885875964842,-4.899161354003125,21.21429812568187
2.468,-4.416032752348527,-5.00046545890484,21.07616739638212
2.472,-4.440360313381353,-5.104433829954024,20.941752813575203
2.476,-4.467878668525044,-5.21109028392184,20.811136307998847
2.48,-4.498595387605428,-5.320459552554977,20.684406373931953
2.484,-4.5325155008124325,-5.432567282575656,20.561658069194596
2.488,-4.569641498700089,-5.547440035681622,20.442993015148026
2.492,-4.609973332186531,-5.665105288546153,20.328519396694666
2.496,-4.653508412553993,-5.785591432818054,20.2183519622781
2.5,-4.7002416114488135,-5.908927775121661,20.1126120238831
2.504,-4.750165260881433,-6.035144537056835,20.0114274570356
2.508,-4.803269153226392,-6.16427285519897,19.914932700802712
2.512,-4.859540541222335,-6.296344781098986,19.823268757792718
2.516,-4.91896413797201,-6.431393281283333,19.73658319415507
2.52,-4.981522116942266,-6.5694522372539925,19.655030139580397
2.524,-5.0471941119640515,-6.710556445488469,19.578770287300504
2.528,-5.115957217232423,-6.8547416174398,19.507970894088356
2.532,-5.187785987306534,-7.002044379536551,19.4428057802581
2.536,-5.262652437109644,-7.152502273182819,19.383455329665058
2.54,-5.340526041929111,-7.306153754758224,19.330106489705713
2.544,-5.421373737416399,-7.463038195617921,19.28295277131773
2.548,-5.505159919587072,-7.623195882092588,19.242194248979946
2.552,-5.591846444820796,-7.786668015488438,19.208037560712366
2.556,-5.6813926298613415,-7.953496712087209,19.18069590807617
2.56,-5.773786772559306,-8.12356650832704,19.160274845691426
2.564,-5.869118839242223,-8.296509192733794,19.146767898485027
2.568,-5.967447215779603,-8.472318335007973,19.140499265290668
2.572,-6.068815978187201,-8.65097977674379,19.14179816900106
2.576,-6.173257606286479,-8.832451332291416,19.15098276994754
2.58,-6.280792983704601,-9.01666278875698,19.168360165900065
2.584,-6.391431397874438,-9.203515906002568,19.19422639206721
2.588,-6.505170540034564,-9.392884416646224,19.22886642109618
2.592,-6.62199650522926,-9.584614026061951,19.27255416307279
2.596,-6.741883792308512,-9.778522412379708,19.325552465521483
2.6,-6.864795303928006,-9.97439922648541,19.38811311340532
2.604,-6.990682346549142,-10.172006092020936,19.460476829125984
2.608,-7.1194846304390165,-10.371076605384118,19.542873272523774
2.612,-7.251130269670435,-10.571316335728744,19.63552104087762
2.616,-7.385535782121908,-10.772402824964564,19.738627668905067
2.62,-7.522606089477649,-10.97398558775728,19.852389628762275
2.624,-7.662234517227579,-11.175686111528563,19.976992330044034
2.628,-7.80430279466732,-11.377097856456029,20.11261011978375
2.632,-7.948681054898204,-11.577786255473253,20.25940628245345
2.636,-8.095227834827266,-11.77728871426978,20.41753303996379
2.64,-8.243790075167242,-11.975114611291097,20.58713155166403
2.644,-8.394203120436579,-12.170745297738662,20.768331914342067
2.648,-8.546290718959424,-12.36363409756988,20.961253162224413
2.652,-8.699865022865634,-12.553206307498119,21.166003266976194
2.656,-8.854726588090767,-12.738859196992706,21.382679137701167
2.66,-9.010664374376086,-12.919962008278922,21.61136662094171
2.664,-9.167455745268558,-13.095855956338006,21.852140500678814
2.668,-9.324866468120863,-13.265854228907159,22.10506449833209
